,Spot Fundamentals,,,,,,,,CPS,,,,,,,,,,,Raw Nuclide Ratios,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,total,total,total,total,total,total,total,total,total,total,total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Primary,190,195.8,195.9,204,BKG,206,207,208,238,248,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stage,Stage,Stage,,,beam,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,190,,195.9,,204,,206,,206,,207,,208,,208,,238,,248,,248,,254,
Fraction   ,Date/Time ,Hours ,X ,Y ,Z ,Qt1y ,Qt1z ,(na) ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/206 ,+/-1sigma % ,/238 ,+/-1sigma % ,/254 ,+/-1sigma % ,/206 ,+/-1sigma % ,/206 ,+/-1sigma % ,/248 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/254 ,+/-1sigma % ,/238 ,+/-1sigma % 
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11887-001.1,11/27/2016 22:56,4.54,6960,3149,3535,-113,-986,-5.9,4930.541182,13668.58417,142711.2829,0.366666672,0.05,2192.536331,404.9866056,532.6167984,1668.4501,8250.067755,10202.60371,0.360830749,0.691439748,10.43284758,0.388301122,1.44E-04,22.9428476,1.313733143,0.948645695,0.214747564,0.603186071,0.184904925,0.440794507,0.239958489,1.84837817,0.06407121,3.738458048,0.121833964,0.55999892,0.605396577,0.622303771,0.816460357,0.576887415,6.124152487,0.451081704
11887-002.1,11/28/2016 8:18,13.898,6960,3254,3520,-128,-986,-6.7,5342.847404,13639.04897,125237.8627,0.183333334,0.066666667,1601.017641,293.9799285,422.7258097,1193.440393,6619.543803,7314.154584,0.390901275,0.677437966,9.168875143,0.396642227,7.29E-05,37.79750653,1.33656036,0.556491469,0.217673482,0.421724728,0.184130304,0.519397532,0.263323889,2.109392983,0.064109558,2.072161692,0.087797136,0.620064652,0.487335486,0.674651667,0.901749778,0.592217856,6.141710773,0.537210308
11887-004.1,11/28/2016 8:34,14.171,6960,3269,3545,-128,-986,-6.1,2616.819148,13838.63838,146632.9338,0.150000001,0.05,902.5362675,164.7897386,177.0376746,678.7110803,2623.804378,4138.131916,0.188329285,0.881807581,10.58741385,0.385549752,1.11E-04,40.82656868,1.322264115,0.730057207,0.21660517,0.858202954,0.183074252,0.687942792,0.199480802,3.167750455,0.066858576,3.231565687,0.049260998,0.74486323,0.191399875,0.942840048,0.634517183,0.888824724,6.097006769,0.707661463
11887-003.1,11/28/2016 8:51,14.444,6960,3184,3570,-128,-986,-6.2,8738.04402,14274.9421,141926.0448,0.885185208,0.066666667,3377.750231,627.4148554,830.4767833,2528.887817,12390.40655,15496.67989,0.610611593,1.890195282,9.932102071,1.014028458,1.79E-04,33.95675814,1.338654951,0.849885574,0.217733047,0.507606117,0.185769383,0.57994339,0.245793147,1.47507341,0.066922789,1.481465177,0.175667073,0.933425459,0.865803001,1.892607736,0.798668902,0.663181929,6.129364772,0.661272726
11887-007.1,11/28/2016 9:23,14.991,6960,3301,3532,-119,-986,-6.9,7544.243357,13467.83126,133129.5686,0.216666669,0.083333334,2954.321804,546.2049238,723.1771917,2247.326687,11045.70896,13924.88462,0.5607262,1.041787248,9.985455389,0.44327063,4.51E-05,35.35595257,1.329915142,0.660218164,0.2148738,0.592646536,0.184224182,0.386380685,0.242293048,1.614188086,0.065444994,1.623003223,0.164615383,0.871650704,0.809327439,0.586364824,0.795513218,0.455261801,6.176613118,0.396417332
11887-008.1,11/28/2016 9:40,15.264,6960,3356,3512,-111,-986,-6.4,3130.078567,13643.19444,144185.8511,0.200000001,0.083333334,1128.407231,207.4369611,243.9456453,820.1894737,3515.859691,5085.296591,0.229343283,0.826398312,10.60873907,0.391928611,1.03E-04,37.79795018,1.372643171,0.662956366,0.219436094,0.506026172,0.184347059,0.620877274,0.217781506,2.737460142,0.069343058,2.736781824,0.060246356,0.702844354,0.259043848,1.41597767,0.687810043,0.77796573,6.221851312,0.642305538
11887-011.1,11/28/2016 9:56,15.537,6960,3421,3495,-111,-986,-6,5528.71875,14073.42963,147574.8573,0.166666668,0.133333334,2665.207669,492.2069051,676.7128844,1977.173714,10601.96211,12148.74009,0.393288654,0.66177938,10.4830143,0.383575825,1.25E-05,70.71101757,1.341411565,0.4272844,0.218362715,0.326366855,0.185345075,0.628240647,0.255945755,1.642213152,0.063588355,1.643416425,0.141406459,0.530936622,0.759785322,0.578495525,0.872227043,0.465140552,6.150039338,0.717668108
11887-009.1,11/28/2016 10:29,16.086,6960,3416,3465,-111,-986,-6.9,6088.446614,13604.27665,123205.9663,0.216666668,0.066666667,2089.270038,386.6218084,633.2673086,1559.46018,9282.784253,9747.666938,0.447653146,0.650841874,9.056063774,0.395312716,7.18E-05,33.3342537,1.357909079,0.843803755,0.217006194,0.36940336,0.184232566,0.451439433,0.299907612,1.709996199,0.067871713,1.703881798,0.112132044,0.572678625,0.671484036,0.6104113,0.955436402,0.501416201,6.23999953,0.473126845
11887-010.1,11/28/2016 10:46,16.358,6960,3468,3440,-103,-986,-6.7,3421.693772,13220.42108,119969.3507,0.150000001,0.066666667,972.4552022,178.5670983,222.0750628,725.41469,3222.214154,4470.172987,0.25860747,1.243374871,9.056414115,0.401873393,8.57E-05,44.72283351,1.340385013,0.717341517,0.218360293,0.54281739,0.183654311,0.663496351,0.228811655,2.884724991,0.068960077,2.901265739,0.05475313,0.738143731,0.242694244,0.880869964,0.721341722,0.824750769,6.140823781,0.687449264
11887-012.1,11/28/2016 11:02,16.631,6960,3488,3485,-103,-986,-6.3,9451.298011,13108.26156,116078.4646,0.150000001,0.183333334,3250.665978,605.6477761,1185.921903,2382.592344,17417.19334,14868.94817,0.720570155,1.054076507,8.85217308,0.700236841,-1.03E-05,70.71095687,1.361777339,0.391581482,0.218434738,0.634872335,0.186483308,0.365815735,0.366314419,1.255585006,0.068152775,1.257131066,0.182211613,0.527108547,1.332590373,0.885785933,1.171442765,0.383511108,6.227173199,0.383271899
